name,handedness,count,attribute,value
Willie Mueller,R,737,height,76.0
John Flinn,R,737,height,72.0
Don Hahn,R,737,height,73.0
Todd Cruz,R,737,height,72.0
Tom Egan,R,737,height,76.0
Bob Heise,R,737,height,72.0
Tommy Harper,R,737,height,69.0
Max Alvis,R,737,height,71.0
Rico Carty,R,737,height,75.0
Les Straker,R,737,height,73.0
Damaso Garcia,R,737,height,73.0
Don Kainer,R,737,height,75.0
Don Gordon,R,737,height,73.0
Sandy Wihtol,R,737,height,73.0
Sonny Siebert,R,737,height,75.0
Jeff Richardson,R,737,height,75.0
Bobby Darwin,R,737,height,74.0
Bruce Miller,R,737,height,73.0
Bob Bailor,R,737,height,71.0
Tommy Helms,R,737,height,70.0
Tony Armas,R,737,height,71.0
Willie Horton,R,737,height,71.0
Lou Piniella,R,737,height,72.0
Butch Hobson,R,737,height,73.0
John Wathan,R,737,height,74.0
Mike Krukow,R,737,height,77.0
Andres Mora,R,737,height,72.0
Barry Foote,R,737,height,75.0
Ron Clark,R,737,height,70.0
Jay Pettibone,R,737,height,76.0
Glen Cook,R,737,height,71.0
Julio Gotay,R,737,height,72.0
Gary Alexander,R,737,height,74.0
Andre Thornton,R,737,height,75.0
Bob Oliver,R,737,height,75.0
Bill Castro,R,737,height,71.0
Tom Buskey,R,737,height,75.0
Bruce Taylor,R,737,height,72.0
Stan Thomas,R,737,height,74.0
Bob Robertson,R,737,height,73.0
Larry Monroe,R,737,height,76.0
Roger Slagle,R,737,height,75.0
Ollie Brown,R,737,height,74.0
Frank Quilici,R,737,height,73.0
Curt Kaufman,R,737,height,74.0
De Wayne Vaughn,R,737,height,71.0
Rich Wortham,R,737,height,72.0
Bill Sample,R,737,height,69.0
Mike Bacsik,R,737,height,74.0
Craig Kusick,R,737,height,75.0
Glenn Hoffman,R,737,height,73.0
Russ Gibson,R,737,height,73.0
Phil Huffman,R,737,height,74.0
John Bateman,R,737,height,75.0
Luis Pujols,R,737,height,74.0
Joe Gaines,R,737,height,73.0
Doug Rader,R,737,height,74.0
Mickey Stanley,R,737,height,73.0
Steve Brown,R,737,height,77.0
Rick Lysander,R,737,height,74.0
Phil Bradley,R,737,height,72.0
Winston Llenas,R,737,height,70.0
Charlie Moore,R,737,height,71.0
Tommy John,R,737,height,75.0
Bruce Benedict,R,737,height,73.0
John Ellis,R,737,height,74.0
