name,handedness,height,weight,batting avg,homeruns,count
Ray Burris,R,77,200,0.151,1,737
Paul Wilmet,R,71,170,0.0,0,737
Tom Grieve,R,74,190,0.249,65,737
Bob Forsch,R,76,200,0.213,12,737
Danny Cater,R,72,170,0.276,66,737
Bill Schroeder,R,74,200,0.24,61,737
Ron Reed,R,78,215,0.158,0,737
Fred Howard,R,75,190,0.0,0,737
Davey Johnson,R,73,170,0.261,136,737
Ellis Valentine,R,76,205,0.278,123,737
John Hoover,R,74,190,0.0,0,737
Dick Allen,R,71,187,0.292,351,737
Doug Ault,R,75,200,0.236,17,737
Mark Wagner,R,72,165,0.243,3,737
Mike Walters,R,77,203,0.0,0,737
Jake Wood,R,73,163,0.25,35,737
Bob Brower,R,71,185,0.242,17,737
Ray Culp,R,72,200,0.123,1,737
Ivan Murrell,R,74,195,0.236,33,737
Garth Iorg,R,71,170,0.258,20,737
Bob Brenly,R,74,210,0.247,91,737
Jim Rooker,R,72,195,0.201,7,737
Colby Ward,R,74,185,0.0,0,737
Jerry Morales,R,70,155,0.259,95,737
